base_repository_url,friction_rate,n_rel,language
https://github.com/Comcast/riak-java-client,0.0,64,Java
https://github.com/Coral79/Unimotion,0.7840909090909091,88,Python
https://github.com/CreativeDesigner3D/PyClone,0.019490254872563718,1334,Python
https://github.com/CryhanFang/CLIP2Video,0.0,11,Python
https://github.com/Cryolitia/XposedMusicNotify,0.8,5,Java
https://github.com/Cuogeihong/CEASC,0.0,106,Python
https://github.com/CurryYuan/InstanceRefer,0.1,60,Python
https://github.com/Cyanogenoid/dspn,0.0,12,Python
https://github.com/CyrilFeng/karma,0.0,14,Java
https://github.com/DC-SWAT/DreamShell,0.0,7600,C
https://github.com/DQiaole/MatchFlow,0.0,10,Python
https://github.com/DTaoo/Discriminative-Sounding-Objects-Localization,0.0,23,Python
https://github.com/DachengLi1/MPCFormer,0.0,257,Python
https://github.com/Dadmatech/DadmaTools,0.2079207920792079,202,Python
https://github.com/Dado1513/HideDroid,0.0420032310177706,619,Java
https://github.com/DanRuta/xva-trainer,0.0,391,Python
https://github.com/DanielMartensson/CControl,0.4491525423728814,236,C
https://github.com/Dartvauder/NeuroSandboxWebUI,0.2711864406779661,590,Python
https://github.com/DayBreak-u/yolo-face-with-landmark,0.0,13,C++
https://github.com/DearCaat/RRT-MIL,0.0,17,Python
https://github.com/DebashisGanguly/gpgpu-sim_UVMSmart,0.0,332,C++
https://github.com/DeepFlowcc/DeepFlow,0.0,69,Python
https://github.com/DefangChen/SimKD,0.0,11,Python
https://github.com/Delay-n-days/Intelligent-access-control-system-based-on-stm32,0.0,16,C
https://github.com/DeminYu98/DiffCast,0.0,6,Python
https://github.com/DengPingFan/CSU,0.0,31,Python
https://github.com/DengSinkiang/sk-admin,0.02631578947368421,152,Java
https://github.com/DexterMagnific/QSvgStyle,0.19318181818181818,176,C++
https://github.com/DingLei14/WiCoNet,0.0,6,Python
https://github.com/DmitryRyumin/ICASSP-2023-24-Papers,0.0,14,Python
https://github.com/Domenicobrz/Lumen-2D,0.0,27,JavaScript
https://github.com/DonBruce64/MinecraftTransportSimulator,0.16666666666666666,6,Java
https://github.com/DrFlower/Hana-SoftwareRenderer,0.0,18,C++
https://github.com/DrJZhou/Deep-Learning-for-Aspect-Level-Sentiment-Classification-Baselines,0.0,16,Python
https://github.com/DrNseven/D3D12-Hook-ImGui,0.0,41,C++
https://github.com/Dreamescaper/BlazorBindings.Maui,0.0,6,C#
https://github.com/Dust1404/Project_LemonPlus,0.0,6,C++
https://github.com/DylanWusee/pointconv,0.6551724137931034,58,Python
https://github.com/EasonXiao-888/MambaTree,0.0,2495,Python
https://github.com/EdwardSmith1884/Multi-View-Silhouette-and-Depth-Decomposition-for-High-Resolution-3D-Object-Representation,0.07142857142857142,14,Python
https://github.com/Elem8100/MapleNecrocer,0.02030456852791878,197,C#
https://github.com/EleonoreMizo/pedalevite,0.06521739130434782,46,C++
https://github.com/EmbodiedAI-RoboTron/RoboTron-Mani,0.0,152,Python
https://github.com/EminYahyayev/udacity-popular-movies,0.25,8,Java
https://github.com/EnzeZhu2001/UNetMamba,0.36585365853658536,164,Python
https://github.com/ErikMoczi/Unity.ProceduralContentGeneration-Terrain,0.0070921985815602835,141,C#
https://github.com/EtienneCmb/visbrain,0.6666666666666666,6,Python
https://github.com/EverNorif/PUGS,0.0,51,C++
https://github.com/Evil0ctal/Douyin_Tiktok_Scraper_PyPi,0.0,16,Python
https://github.com/Ezrealove/The-ONE-simulator,0.0,301,Java
https://github.com/FanChiMao/CMFNet,0.09090909090909091,11,Python
https://github.com/Farama-Foundation/A2Perf,0.0,5,Python
https://github.com/Farama-Foundation/Arcade-Learning-Environment,0.8,10,C++
https://github.com/Farama-Foundation/D4RL,0.0821917808219178,73,Python
https://github.com/Farama-Foundation/D4RL-Evaluations,0.0,134,Python
https://github.com/Farama-Foundation/Gymnasium,0.7142857142857143,70,Python
https://github.com/Farama-Foundation/HighwayEnv,0.0,86,Python
https://github.com/Farama-Foundation/Jumpy,0.0,6,Python
https://github.com/Farama-Foundation/MAgent,0.0,27,C++
https://github.com/Farama-Foundation/MAgent2,1.0,11,C++
https://github.com/Farama-Foundation/MPE2,0.7297297297297297,37,Python
https://github.com/Farama-Foundation/Metaworld,0.01904761904761905,105,Python
https://github.com/Farama-Foundation/Minigrid,1.0,26,Python
https://github.com/Farama-Foundation/Multi-Agent-ALE,0.0,65,C++
https://github.com/Farama-Foundation/PettingZoo,0.76,25,Python
https://github.com/Farama-Foundation/Procgen-Staging,0.0,194,C++
https://github.com/Farama-Foundation/ViZDoom,0.0,4221,C++
https://github.com/Farama-Foundation/a2perf-circuit-training,0.0,120,Python
